id_person,Culture,Location,n_recordings,f0_mean_hz,f0_sd_hz,f1_mean_hz,f2_mean_hz,f3_mean_hz,f4_mean_hz,vtl_proxy_hz
7,Mestizo,Colombia,1,237.8912214,30.15052925,565.782,1773.279,2882.213,3852.681,1826.9591227003866
7,Nyangatom,Ethiopia,1,177.1469485,56.70241637,485.642,1743.693,2944.924,3929.355,1769.27526265598
7,Quechua,Peru,1,210.3571429,33.55608591,444.335,1642.863,3010.772,3983.622,1720.1525585820189
7,Rural Southern Poland,Poland,1,297.4217471,74.82672864,557.102,1806.505,2941.097,4022.934,1857.6185332604944
7,Sapara & Achuar,Ecuador,1,223.3980808,32.27465069,502.631,1896.989,3210.329,4490.257,1925.4564751582955
7,Toposa,Ethiopia,1,252.2156842,36.39123803,569.446,1669.883,2751.091,3764.038,1771.4315947522525
7,Turku,Finland,1,237.3071315,68.23357314,623.075,1959.039,3020.179,4182.443,1981.5796365031297
7,Urban Beijing,China,1,218.575977,32.14351866,695.584,1942.364,3031.535,4135.52,2028.701867602622
7,Urban San Diego,USA,1,268.7227668,80.43151539,682.602,1699.302,2930.889,4074.908,1929.2514084874144
7,Urban Toronto,Canada,1,273.4837432,126.6477898,615.47,1913.625,2943.878,3967.466,1925.857666012989
7,Urban Wellington,New Zealand,1,297.2696657,103.7953636,604.726,1878.882,2917.434,3982.552,1906.1416042520082
7,Vanuatu,Vanuatu,1,253.1459364,50.97729918,676.315,1674.819,2834.659,3866.639,1877.1018469917171
8,Afr-Colombians,Colombia,1,204.0770183,47.05743316,545.477,1756.161,2619.346,3871.41,1765.4308129230662
8,Jenu Kurubas,India,1,403.4923158,110.5006607,779.09,1959.561,2790.158,3839.626,2011.0183551987193
8,Krakow,Poland,1,236.5017083,52.16193915,637.693,1861.037,2963.572,4066.244,1944.6609523972866
8,Mbendjele,Republic of Congo,1,239.9374753,64.35723576,561.303,1854.32,2762.22,3972.6,1838.3524888616598
8,Mentawai Islanders,Sumatra,1,204.1236444,99.68845663,628.778,1704.675,3045.173,4166.038,1920.2975678899452
8,Mestizo,Colombia,1,254.8032836,89.12631748,731.555,1967.301,2904.853,3976.954,2019.2873787515596
8,Nyangatom,Ethiopia,1,275.2825116,36.08859403,656.716,1750.428,2834.572,3945.77,1893.5870599146556
8,Quechua,Peru,1,162.6015385,50.93615649,544.126,2067.314,3004.815,4280.311,1950.2924834597197
8,Rural Southern Poland,Poland,1,281.4891844,77.32043032,690.127,2000.674,3068.955,4107.407,2042.5180426876432
8,Sapara & Achuar,Ecuador,1,189.1968254,25.02843994,636.514,1876.142,3030.755,4205.608,1975.2102091906736
8,Toposa,Ethiopia,1,251.2022034,59.65770377,722.876,1721.775,2912.262,3960.621,1946.5182650697038
8,Tsimane,Bolivia,1,205.0214523,30.29714966,509.333,2003.238,3061.55,4310.051,1915.5325345850415
8,Turku,Sweden,1,203.8925105,43.15001894,689.558,1945.054,2962.607,4142.258,2014.2038121938888
8,Urban Beijing,China,1,287.477735,68.85160527,592.753,2109.847,3227.698,4396.397,2052.4785628907393
8,Urban San Diego,USA,1,229.5592744,46.81467118,698.785,1952.649,3013.463,4070.469,2022.6443146345794
8,Urban Toronto,Canada,1,217.3924373,100.0933075,595.976,1808.326,2943.023,4048.353,1892.9728363423794
8,Urban Wellington,New Zealand,1,299.2877567,113.6019959,749.635,2009.77,3050.251,4037.716,2075.4720556172165
8,Vanuatu,Vanuatu,1,195.3340659,75.94901363,634.027,1961.889,3257.973,4223.174,2033.9588405474437
9,Afr-Colombians,Colombia,1,228.3338525,27.65112024,605.252,1725.773,2892.03,3935.057,1856.814124837143
9,Arawak,Guyana,1,238.7045418,102.0845544,586.85,1675.523,2807.627,3871.289,1808.0820164163295
9,Hadza,Tanzania,1,206.735907,37.72523689,602.486,1792.266,3117.295,4336.471,1954.6362274957046
9,Jenu Kurubas,India,1,266.0869872,40.96041106,551.066,1869.92,2991.617,4245.408,1902.0109698345116
9,Krakow,Poland,1,257.0619167,53.25895935,565.369,1839.627,2955.128,3980.443,1870.2185842251642
