filename,f0_mean,f0_sd,f1_mean,f2_mean,f3_mean,f4_mean
TOR16B,181.540,81.239,731.026,1993.439,3116.589,4131.267
TOR17B,304.851,104.388,576.026,1822.792,3047.124,4043.804
TOR18B,270.511,77.612,565.169,1963.408,2976.748,4029.872
TOR19B,337.893,77.398,591.338,2020.519,3047.477,4067.215
TOR20B,331.315,113.725,647.594,1826.829,2873.475,4008.809
TOR21B,225.493,74.225,760.380,2041.361,3186.104,4229.361
TOR22B,220.025,75.667,472.017,1877.165,2999.454,4060.248
TOR23B,300.678,73.492,662.871,1642.216,2932.185,3869.865
TOR24B,241.270,71.379,605.825,1799.896,2874.145,3801.844
TOR25B,236.269,78.074,525.470,1985.982,3017.264,4099.906
TOR26B,303.220,83.884,558.775,1895.519,3011.803,4072.647
TOR27B,364.393,123.609,655.802,1897.466,3045.640,4131.927
TOR28B,309.612,109.752,623.493,1867.297,2904.383,3984.217
TOR29B,254.436,88.141,604.309,1787.272,2796.641,3940.093
TOR30B,306.616,100.501,650.088,1871.124,3044.025,4096.066
TOR31B,270.739,113.440,583.585,1880.223,3016.590,4083.979
TOR32B,333.846,146.723,586.816,1821.730,2828.913,3983.340
TOR33B,345.490,100.381,505.104,1854.559,2989.290,4095.382
TOR34B,282.960,103.430,558.673,1891.677,3038.452,4089.906
TOR35B,233.246,81.499,633.248,2090.378,3082.289,4148.935
TOR36B,212.749,87.055,703.514,1897.712,3136.670,4194.364
TOR37B,261.618,81.200,506.736,2105.640,3063.810,4171.746
TOR38B,280.922,88.337,571.189,1903.818,2956.191,4077.303
TOR39B,308.969,95.771,541.580,2018.301,3075.913,4089.890
TOR40B,251.905,68.108,538.526,1964.588,2966.286,4043.118
TOR41B,271.076,94.385,675.203,1998.016,3039.737,4074.799
TOR42B,309.511,120.941,638.392,1785.715,2952.054,4004.062
TOR43B,281.305,52.077,526.194,2057.315,2965.532,4004.960
TOR44B,331.443,94.449,651.897,1909.008,3073.113,4090.034
TOR45B,315.262,109.824,599.467,1898.718,2975.785,4071.793
TOR46B,244.450,49.095,614.304,1956.427,3037.323,4009.878
TOR47B,253.454,83.349,706.522,1991.368,3185.876,4139.082
TOR48B,290.821,103.651,613.950,1627.619,2979.927,3948.084
TOR49B,354.538,64.107,664.894,1884.777,3049.694,4079.063
TOR50B,210.406,53.902,602.849,1949.257,2968.582,4096.587
TSI01B,202.140,29.319,587.978,1795.977,3093.727,4094.392
TSI02B,117.603,13.050,487.854,1735.251,2931.449,4070.318
TSI03B,170.674,29.644,602.176,2078.537,3210.320,4273.661
TSI04B,170.460,33.518,548.206,1985.180,3050.112,4176.057
TSI05B,129.254,49.269,584.041,2000.704,3275.118,4102.510
TSI06B,195.079,29.554,471.454,1869.852,3093.498,4182.964
TSI07B,132.737,17.966,456.113,1882.075,3102.640,4148.008
TSI08B,204.588,31.129,509.333,2003.238,3061.550,4310.051
TSI09B,188.140,22.863,529.304,1760.907,2997.707,4113.285
TSI10B,228.953,92.643,531.724,1926.447,3071.715,4137.735
TSI11B,119.709,15.621,608.165,1928.624,2939.382,3817.281
TSI12B,166.674,39.544,557.845,1914.446,3093.698,4191.570
TSI13B,149.306,16.873,501.230,1937.153,3016.228,4293.008
TUR01B,267.301,80.770,688.876,1871.375,3015.533,4080.877
TUR02B,235.938,59.596,684.216,1870.727,3161.651,4208.554
TUR03B,289.062,73.936,594.449,1881.740,3086.111,4174.510
TUR04B,277.627,60.478,691.226,1895.997,3049.235,4075.264
TUR05B,219.510,61.475,641.455,1859.734,2985.241,4132.028
TUR06B,323.334,84.408,592.635,1880.559,2865.033,4046.220
TUR07B,237.507,67.082,623.075,1959.039,3020.179,4182.443
TUR08B,203.078,41.938,689.558,1945.054,2962.607,4142.258
TUR09B,186.009,75.213,514.569,1676.454,2706.183,3799.867
TUR10B,248.978,74.369,743.476,1866.750,3117.188,4127.241
TUR11B,239.213,60.727,720.365,2035.236,3122.975,4064.627
TUR12B,230.859,59.440,610.466,1909.626,2869.172,3964.971
TUR13B,154.080,65.726,603.258,1792.094,2838.844,3884.610
TUR14B,226.052,65.905,499.036,1858.244,2967.687,4072.886
TUR15B,275.927,81.031,713.574,2064.284,3038.196,4090.239
TUR16B,263.097,80.668,610.410,1752.317,2919.720,4063.639
TUR17B,262.205,104.010,631.711,1775.213,2968.149,4072.895
TUR18B,261.066,54.429,483.115,1816.452,2908.024,4060.074
TUR19B,244.291,78.195,584.624,1675.528,2984.218,4057.791
TUR20B,205.320,49.728,458.467,1958.805,2929.503,4169.922
USD01B,268.817,87.354,618.253,1832.852,2958.320,4149.169
USD02B,242.952,88.610,546.026,2163.140,3002.566,4207.286
USD03B,268.312,77.051,509.963,1954.680,3003.231,4119.739
USD04B,347.126,87.277,606.087,1797.080,3029.689,4042.491
USD05B,274.268,92.804,575.210,1839.813,2938.029,4107.961
USD06B,244.167,99.950,558.129,1947.730,3001.539,4126.892
USD07B,268.437,80.961,682.602,1699.302,2930.889,4074.908
USD08B,229.908,46.958,698.785,1952.649,3013.463,4070.469
USD09B,394.922,98.608,711.702,1528.219,2632.305,3784.426
USD10B,127.936,19.192,626.478,1711.327,2683.883,3670.559
USD11B,303.118,85.492,604.708,1850.557,2939.570,4045.874
USD12B,214.678,44.006,597.306,1955.588,2956.339,4142.882
USD13B,329.013,109.093,738.241,1974.116,3012.057,4115.427
USD14B,308.504,114.029,775.130,1855.426,2972.909,4035.515
USD15B,166.503,40.988,574.113,1843.752,2922.523,4016.885
USD16B,377.641,29.257,610.596,1889.875,3068.702,4068.706
USD17B,350.094,89.277,599.067,1845.325,2989.038,4115.304
USD18B,294.030,83.922,595.238,1855.242,3049.431,4090.115
USD19B,282.665,89.399,633.057,1984.274,3000.685,4121.916
USD20B,297.926,67.388,548.110,1975.034,2975.681,4052.618
USD21B,318.849,63.467,747.227,1878.737,3109.434,4191.003
USD22B,267.060,53.419,700.754,1826.534,2980.956,4097.164
USD23B,297.409,93.929,680.026,2101.445,3039.666,4213.318
USD24B,338.574,87.914,664.661,1987.580,2872.431,3846.480
USD25B,272.280,87.521,596.760,1915.487,2910.820,3988.241
USD26B,303.023,95.410,695.631,1946.368,3052.722,4120.980
USD27B,249.605,69.444,542.620,2118.296,2930.548,4182.352
USD28B,266.160,94.379,632.922,1851.322,2934.513,3965.146
USD29B,147.040,41.663,573.890,1763.322,2650.945,3846.706
VAN01B,196.092,56.342,672.033,2061.615,3094.378,3874.471
VAN02B,214.131,41.861,618.990,1800.096,2805.986,3856.487
VAN03B,247.027,35.768,613.957,1803.968,3099.756,4121.473
VAN04B,309.137,87.707,666.771,1744.441,3069.185,4063.548
VAN05B,295.122,65.623,704.498,1947.979,2896.559,3829.334
VAN06B,261.255,42.257,616.623,1752.972,3061.542,3966.784
VAN07B,251.121,48.628,676.315,1674.819,2834.659,3866.639
VAN08B,193.034,72.654,634.027,1961.889,3257.973,4223.174
VAN09B,218.995,46.230,598.042,1724.158,2921.130,3866.421
VAN10B,194.353,82.799,648.242,1660.804,2984.820,3917.097
VAN11B,174.279,33.630,590.678,1753.290,2924.498,3852.356
VAN12B,177.734,47.616,583.381,1853.609,3071.593,4081.294
VAN13B,213.801,24.767,646.711,1740.835,3055.100,3778.274
VAN14B,298.285,51.662,580.256,1658.001,2940.781,4097.815
VAN15B,132.945,26.099,564.684,1620.275,2768.565,3768.771
VAN16B,251.650,39.434,578.998,1695.938,2858.441,4032.381
VAN17B,215.763,32.407,582.032,1755.025,2938.009,3941.690
VAN18B,161.955,78.707,804.474,2049.730,3098.244,4062.802
VAN19B,262.910,39.250,621.624,1854.170,2942.942,3993.223
VAN20B,269.666,61.317,734.738,1723.687,3014.544,4099.510
VAN21B,209.943,46.469,581.819,1790.898,2976.392,3984.431
VAN22B,284.231,42.720,699.933,1868.853,2949.962,4131.589
VAN23B,193.703,78.236,613.242,1726.314,3051.476,4037.414
WEL01B,273.895,63.576,590.625,1546.716,2856.633,3994.394
WEL02B,257.868,96.033,651.076,1873.772,2947.117,4029.347
WEL03B,401.828,52.766,729.353,1880.726,2963.053,4086.414
WEL04B,309.577,128.776,590.569,1783.971,2876.761,4047.931
WEL05B,401.590,85.252,808.670,2000.386,3068.770,4220.139
WEL06B,177.702,65.469,616.580,1743.341,2857.127,3968.423
WEL07B,299.538,104.472,604.726,1878.882,2917.434,3982.552
WEL08B,291.378,108.866,749.635,2009.770,3050.251,4037.716
WEL09B,275.524,59.679,587.596,1881.941,2996.523,4114.178
WEL10B,302.221,112.368,582.405,1858.983,2909.158,4000.135
WEL11B,210.931,98.601,586.418,1846.896,2901.242,4035.773
WEL12B,269.273,104.415,605.806,1882.189,2999.949,4012.271
WEL13B,335.413,95.286,776.873,1989.828,3113.013,3906.899
WEL14B,271.268,92.169,666.184,2003.122,3002.791,4059.374
WEL15B,240.325,76.843,654.353,1769.051,2789.494,3927.157
WEL16B,324.200,68.234,685.747,1932.493,3006.538,4084.497
WEL17B,283.972,70.334,802.796,2064.937,3099.154,4118.614
WEL18B,270.645,97.326,460.752,1945.301,2929.230,3907.807
WEL19B,250.990,148.865,744.922,1944.084,3080.602,4100.981
WEL20B,190.583,75.650,634.393,1822.024,3011.090,4059.565
WEL21B,314.846,77.474,503.991,1912.099,2987.225,4021.736
WEL22B,273.505,67.285,556.204,1928.297,2902.899,4012.534
WEL23B,334.990,102.415,769.194,1920.825,2907.755,4030.802
WEL24B,264.474,81.590,576.457,1849.758,2996.931,3999.492
WEL25B,328.888,103.831,541.519,1841.562,2859.614,3990.413
WEL26B,346.439,100.199,599.764,1816.064,2937.748,3995.042
WEL27B,330.790,112.933,638.858,1888.011,2938.180,4090.613
WEL28B,236.029,64.264,647.697,1850.044,2932.724,4015.738
WEL29B,375.935,107.477,624.323,1633.231,2866.544,3967.005
WEL30B,340.981,94.004,621.969,1909.150,3039.773,4081.473
WEL31B,289.960,83.304,563.620,1914.536,3022.329,4103.232
WEL32B,277.931,158.701,726.617,1754.894,2902.624,3964.544
WEL33B,261.380,56.179,597.877,1883.245,2978.548,4107.543
WEL34B,302.000,81.739,655.165,1918.736,2868.077,3859.504
WEL35B,310.328,109.004,677.472,1894.853,2998.831,4119.451
WEL36B,332.918,105.356,656.766,1824.286,2931.608,3939.370
WEL37B,148.882,58.480,590.900,1881.769,2852.295,3934.178
WEL38B,393.703,97.762,674.510,1717.544,2999.325,3983.460
WEL39B,318.902,88.842,615.630,1788.155,2994.531,4062.159
WEL40B,296.983,67.504,667.672,1666.289,2919.562,4021.498
WEL41B,317.906,98.884,589.611,1797.470,2758.597,3897.823
WEL42B,229.402,27.807,601.353,1918.680,2814.058,4135.139
WEL43B,205.549,75.187,514.091,1680.628,2751.046,3890.688
WEL44B,222.435,139.693,536.729,1861.257,2786.748,4062.448
WEL45B,243.786,64.254,812.024,2121.759,3032.977,4084.417
WEL46B,356.858,139.288,686.716,1804.289,2926.676,3948.737
WEL47B,331.152,119.959,691.680,1779.702,2916.009,3949.443
WEL48B,310.274,104.149,579.490,1974.005,3082.641,3982.066
WEL49B,273.256,87.144,686.918,1902.689,3018.366,4066.521
WEL50B,252.185,110.546,616.086,1876.625,2868.452,3918.838
WEL51B,157.293,66.611,525.204,1742.408,2782.461,3901.910
WEL52B,210.561,68.680,613.993,1775.073,3035.858,4122.839
WEL53B,255.293,87.692,758.736,2022.725,3085.790,4119.506
WEL54B,320.291,112.709,639.733,1904.440,2968.552,4065.795
WEL55B,254.764,96.876,497.653,1834.552,2968.294,4051.165
WEL56B,383.747,90.453,709.786,1742.137,2842.374,3875.166
WEL57B,241.878,70.345,604.606,1787.516,2712.203,3839.947
